epoch,train_gen_loss,train_disc_loss,train_gen_acc,val_gen_loss,val_disc_loss,val_gen_acc
1,5.1992946,0.3094765,0.10375,2.5679572,0.6090052,0.0975
2,4.298027,0.20531191,0.058333334,2.1193924,0.55008155,0.07541667
3,3.5076828,0.22491926,0.04763889,1.7849826,0.5012831,0.064166665
4,3.1593657,0.19593781,0.039895833,1.505515,0.6000733,0.048125
5,2.9101124,0.18629985,0.037416667,1.3066555,0.754007,0.073583335
6,2.7282763,0.16873266,0.032430556,1.1484417,0.79372907,0.076527774
7,2.5691247,0.15681115,0.028630953,1.0154804,0.92987305,0.08059524
8,2.5176392,0.16091385,0.026614584,1.0350964,1.3692293,0.076770835
9,2.4095323,0.15680514,0.025,0.9587127,1.3465372,0.07472222
10,2.309769,0.14898023,0.022958333,0.8931002,1.4522009,0.06725
11,2.2844613,0.1459968,0.02185606,0.900472,1.6517502,0.06515151
12,2.1861465,0.14564873,0.020902777,0.8647452,1.8660765,0.061944444
13,2.1461809,0.15751508,0.02298077,0.9824294,1.9655846,0.060064103
14,2.0604002,0.16693106,0.024464285,2.4262016,3.913063,0.07
15,1.9812833,0.17189181,0.026194444,2.3776855,4.6448164,0.035
16,1.8882159,0.17319535,0.026588542,1.8529027,4.794536,0.030833334
17,1.7997485,0.17166157,0.026397059,1.5288333,4.913167,0.024791667
18,1.7184874,0.16830868,0.025717592,1.3215419,5.012296,0.0215
19,1.6481371,0.1650535,0.02484649,1.1480075,5.2514887,0.019791666
20,1.5825006,0.16317128,0.0245625,1.0215113,5.626655,0.022857143
21,1.5197892,0.16053481,0.023789683,0.91615313,5.878758,0.030364584
22,1.4669863,0.16202295,0.024412878,0.83085465,6.0067973,0.03574074
23,1.418366,0.16264361,0.02527174,0.7620015,6.1566772,0.039
24,1.3725208,0.16872635,0.026354166,0.70581234,6.1364408,0.04340909
25,1.3264676,0.16877526,0.02655,0.65790015,6.20816,0.042743057
26,1.2866393,0.1724574,0.027692307,0.6311673,6.2596493,0.043910258
27,1.2525218,0.17327893,0.028117284,1.2600572,6.836432,0.0675
28,1.2194477,0.17382418,0.028645834,0.92536145,8.132228,0.042916667
29,1.186227,0.17428756,0.029109195,0.86697406,7.3407383,0.040555555
30,1.1557846,0.17409794,0.0295,0.76165354,7.039143,0.038854167
31,1.1309158,0.17313834,0.029475806,0.6890395,6.8412294,0.040583335
32,1.1050334,0.17264004,0.029453125,0.64291763,6.937393,0.040416665
33,1.0796356,0.17235988,0.029482324,0.57960194,6.870595,0.040595237
34,1.055875,0.17050321,0.029191177,0.5212756,6.829862,0.038489584
35,1.035548,0.16915628,0.028988095,0.481102,6.974112,0.036898147
36,1.0162946,0.16949354,0.028993055,0.4579585,7.25003,0.036083333
37,0.99547666,0.17052732,0.029211711,0.4341323,7.3543153,0.034886364
38,0.97537184,0.16957636,0.028914474,0.40741232,7.486319,0.033645835
39,0.96284044,0.16885561,0.028728632,0.3889243,7.417343,0.03227564
40,3.7612765,0.23333377,0.03846154,1.4180499,9.194015,0.020416666
41,3.4856613,1.0180459,0.041666668,1.2123883,7.296099,0.014166667
42,2.995432,0.677862,0.042035397,1.0314844,6.53383,0.02013889
43,2.592322,0.54727924,0.042177916,0.9024772,5.9946337,0.015520833
44,2.3608608,0.45838678,0.040688574,0.9069878,5.796959,0.01625
45,2.2385225,0.4191358,0.04103295,0.8878064,5.675668,0.019861111
46,2.0983593,0.3862909,0.041267306,0.83839583,5.5923796,0.01797619
47,2.1073065,0.35755387,0.040174473,0.7835984,5.6350875,0.026666667
48,2.0337312,0.32691044,0.037278045,0.7794818,5.536455,0.033888888
49,1.9443182,0.31427097,0.03676206,0.72159785,5.406937,0.036541667
50,1.9046888,0.298633,0.034884665,0.6828605,5.3396254,0.034545455
